X,Y,Moran's I
391,272,-1.9916689440878392
577,174,-0.7688787668779546
485,206,-1.9636823533886765
84,249,1.936220999415285
332,445,-5.241009076609981
118,407,-0.7242971104994403
187,134,-0.4932801206258371
386,85,4.383075681707548
261,150,3.047459207308594
583,116,1.2668315410646231
171,274,3.998088671259512
53,416,6.93869478794685
303,1,-1.0933084542420484
566,328,13.077314504573717
563,18,-25.184195435639662
62,54,2.82585631858486
590,37,-6.039841608605315
399,12,7.139254799246686
338,63,3.3654773727213967
335,391,-5.268767238070835
73,436,31.614502313242877
400,143,-10.50745778134547
191,80,-15.12112885867698
416,92,-8.353684079535189
199,453,9.249731059075494
482,261,16.273900388999678
332,363,-53.199894030847695
106,213,5.666251568348124
560,83,9.989382871028363
97,409,5.649243516030857
464,244,-9.806460198544425
553,189,-0.8866146113728278
253,327,-2.314215607114653
244,5,0.2160127530175173
416,216,3.1971520087756407
266,1,0.7660641900692071
216,43,7.18269264810146
461,461,0.43589893777706573
157,472,4.101330964456464
4,177,-4.1925221680246585
253,71,3.833213183013633
304,325,2.1208526188896095
244,13,26.61328930908319
406,72,8.514171959912316
310,299,-180.6515287250599
449,219,-3.234648296710505
422,412,0.9793476012522112
451,149,5.726777552358494
578,261,-2.9464133487174244
430,108,24.603278727647265
575,239,-368.93285512910205
381,326,-1.322601576590376
59,133,11.721719258467244
527,261,-0.10078591162012142
285,296,3.1250054746683706
303,127,1.9668082947166654
34,405,-16.176921826314864
337,270,-5.0994256693310325
123,239,1.6695200339739575
512,196,-0.3386324251305118
34,180,-2.783219944209348
219,470,-2.4660599306650464
189,379,-58.807791976727074
278,71,1.2769337962425618
449,392,4.448763752287015
291,223,6.406710245709125
413,366,-0.8396602270367006
1,306,3.3473841946501834
243,251,-45.320985215300624
284,38,0.5200036281108702
94,228,-66.89957277718698
450,62,-3.2148176968646722
302,312,8.452938363586787
572,150,-3.6309653850320722
194,69,-10.566032506077295
368,429,2.1118269727582755
613,45,-1.6362152589189447
64,27,0.1481124008318707
265,39,3.651441772258676
374,300,-9.899931025507271
450,60,18.066775277368915
621,177,6.121085283618132
465,289,-1.5631207300745078
639,270,-10.423105442086896
467,435,0.8121513744589981
484,131,13.528371371750088
51,381,2.4059981765145406
517,91,1.2476685526653124
252,303,5.055789179836287
117,453,4.209854932997639
327,222,-2.299662669951242
43,237,10.318749239461967
458,380,-29.72075498718522
159,223,1.0625283790732094
355,45,2.852866188426733
399,388,-19.384353330559076
109,0,-6.318834515315265
622,425,-20.04395315205926
190,222,-2.300866161591232
210,344,8.65374930272446
