X,Y,Moran's I
453,332,2.032410316531645
376,287,-1.783658216728779
329,79,0.13210910250961144
95,184,-0.7111204074996719
463,319,-3.6901716486558795
20,123,-6.802143492091046
347,233,-27.746567289086947
600,264,4.3599019847505165
74,193,-43.79154921824064
382,458,-1.9036851926423373
81,317,-0.6293269016640513
263,334,-4.4645544637554195
268,24,-7.924502404122009
558,97,-7.5072117228336745
583,104,2.0742001639215037
214,211,-10.329883878720079
417,197,-3.6325085019530134
256,474,10.009276452283965
425,285,1.6136111362354257
401,62,-62.389813183440864
344,136,1.6147958137424698
501,258,52.51490879080476
276,87,-5.595231368279567
562,280,-7.66920615032096
505,91,2.8021075460808005
161,103,8.15028253848992
93,199,0.7597400292508957
523,328,1.8299816056004063
333,217,1.8418956458695175
299,258,150.54177397333385
561,341,-4.6527579833367785
537,145,3.6804671164466893
474,285,-40.096537241015014
223,395,-88.0168563000426
333,54,1.9743262930202252
596,281,-4.442492773650861
91,305,1.231308186608704
308,73,-6.2260320594813345
223,74,32.17429600753201
66,402,1.797908247968069
327,322,-12.590351329537574
74,279,45.84311122513127
260,349,1.7364186919805567
618,455,3.6620201279371463
9,324,7.679880355135132
176,131,15.781545302250562
56,435,13.577872341414603
308,145,1.7693260369078696
283,342,3.5633373372756387
373,376,-37.7414429631798
511,399,-5.243368985421648
529,478,-10.93572359126982
254,125,7.122553221851736
293,332,2.963867738513893
381,43,1.4094419697553173
236,313,-0.671747467706049
426,43,-1.27762274243243
553,454,-0.41741551543865185
492,169,1.6272748713577185
354,345,-1.441939323780165
266,86,-8.180408119054082
400,295,-0.4805358731238715
635,329,-4.44730450430447
140,390,-9.335994842770374
417,347,0.08140945679905495
493,62,-1.616698022752995
343,115,7.561190524276507
218,140,3.5411570902115854
438,175,-6.786373960282132
521,170,30.711098383518287
406,75,3.7671760750281447
398,383,1.1972980520609304
388,441,10.01640712284819
40,234,-11.611575194562047
285,314,6.8716345252766615
119,22,12.02176253666875
468,0,0.904696589525613
610,156,11.372613381183296
40,111,-7.871529154842948
143,456,-3.1970560567472845
634,462,-3.069246636508254
475,73,6.879970944840233
638,148,53.598414949024004
611,90,3.5192648438649674
20,462,1.560871126391373
538,227,1.7728600539172448
212,422,-1.814958673302977
341,385,-0.835707890227192
34,393,-26.295699953713388
116,118,-5.336875220420147
46,33,-6.379149599606334
130,102,-10.929029419053611
515,301,1.9141424288161397
362,20,6.590533865491246
163,187,-4.609041447068324
377,344,9.719221733652304
492,29,16.528399850886334
183,186,-3.298001248656978
245,175,27.473907107176526
221,56,-1.8606346401142797
