X,Y,Moran's I
370,389,33.827567500867495
625,83,-1.650073082373758
468,296,14.56226624696261
137,96,2.357102431310305
486,42,-5.874230091841105
57,156,-0.9096852416741363
90,228,-0.5577511832721394
218,225,8.97683285666314
204,449,29.53619564483517
558,465,2.7934525370731724
347,4,8.054462009797474
282,39,-42.635916006722205
479,324,2.1414989221302365
612,151,8.486222172023302
613,378,-3.7585264630713926
610,57,3.905875735295789
365,386,-9.937742821653902
104,209,7.872850012166452
116,453,-21.278942351932038
411,268,3.639630294022888
269,223,-13.181472987800358
385,272,-6.583373969895023
326,374,-30.150318947665646
23,417,10.847922150953924
46,165,0.06638854832850635
628,134,-8.571900204283121
299,239,7.704746801471186
537,145,-4.579978351015572
410,329,-0.15898650031025915
577,147,-5.18967169296041
34,166,0.6229953932749596
180,197,-0.27168382217037756
454,284,7.203980440997185
325,148,1.1187796634954028
92,47,12.741080913830988
173,215,12.396406924663722
556,447,0.25611629901572225
544,264,0.11371655624297734
249,25,5.507383600645072
96,61,61.38098079913702
568,332,-13.950158078387341
31,340,-1.6416617508159383
41,381,5.30990928841047
460,27,-2.465284682080361
122,79,7.1976632060604055
107,99,3.8012371463642163
362,159,1.5174525983482057
151,392,0.31036914911826397
204,375,-0.49983343741361197
476,215,-2.0553435792622254
391,323,-8.267989510628786
438,456,4.034490457147612
92,203,-89.19175903872573
457,94,13.107726137044194
108,395,-1.193466938396212
519,211,1.850409152141939
473,387,-2.81670569315718
521,475,0.40671125109773754
437,425,-1.1307801829926831
574,141,-2.9090940226500477
540,285,-2.104468737487887
132,264,-13.268971460417385
130,175,1.4402102279615772
459,418,0.06066630808955696
607,284,-192.6485328624141
157,285,-1.5532199937569808
96,293,-11.430544173506457
54,302,10.487967028366047
361,317,-3.1732909187443528
472,264,7.635093355957726
191,266,-1.090684321200925
183,310,0.7732599045190307
58,26,0.32423521435686636
408,11,7.678052815899205
567,362,0.8674256352295887
630,109,-0.7376823263168074
143,34,-99.20496003613448
376,237,-0.492084354227256
276,121,-0.2424891086978858
244,337,-3.522053277840159
330,95,4.460031511956934
482,419,2.6131149161760843
134,472,0.4652842521909808
151,362,1.6953931082662868
442,395,1.4022193139588244
296,407,12.779193182191857
188,340,-0.640727142302298
235,287,-13.828884066610547
294,126,-1.0807167641695172
408,394,-4.814196799732127
593,124,3.0979095717721505
344,263,222.15634414533983
637,408,0.007153914448526021
435,225,10.427871494268205
199,90,-1.5854853302039371
634,150,-4.266994594226638
198,52,-2.1433015723121143
238,391,-7.365468672720478
625,21,5.5546398323218895
279,460,6.842834510915893
