1-2 98
1-3 109
1-4 100
1-5 97
1-6 103

7-8 81

9-10 64
9-11 66
9-12 85

13-14 200 (same image)
13-15 93
13-16 91
13-17 91
13-18 77

19-20 81
19-21 97
19-22 86
19-23 84
19-24 92

25-26 84
25-27 100
25-28 107
25-29 101
25-30 101
25-31 89

32-33 85
32-34 91

35-36 105
